JDK,GC_OPTS,VM_OPTS,PROG_OPTS,BINDING,DATA,RunTimestamp,Class,MedianRuntimeMs,Checksum,PerfRuntimeMs,JfrRuntimeMs,Instructions,Cycles,Branches,BranchMisses,L1Misses,LLCMisses,PageFaults,TaskClock,ContextSwitches,CpuMigrations,IPC,SecElapsed,SecUser,SecSys,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC100_DirectTempWrite,38,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,37,42,945846985,970909767,177716410,9003982,25732193,17485467,10040,296109014,521,12,0.97,0.22,0.23,0.09,0,21880480,0,0,21880480,0,0,21880480,0,0,21880480,0,0,21880480,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC101_ParseFrom65_VOID,38,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,42,32,944171655,969837310,180546758,9143252,25948949,18211936,10051,325401047,525,21,0.97,0.22,0.25,0.10,0,21879120,0,0,21879120,0,0,21879120,0,0,21879120,0,0,21879120,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC105_ParseTemp_95,36,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,39,44,967099555,912686434,178904940,8767348,21279714,17252460,10075,289645467,583,9,1.06,0.20,0.23,0.08,0,21876248,0,0,21876248,0,0,21876248,0,0,21876248,0,0,21876248,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC106_ParseTemp_105,36,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,46,49,932424717,978808167,177907691,9048077,26108340,18986647,9952,312870856,596,24,0.95,0.22,0.25,0.08,0,21878896,0,0,21878896,0,0,21878896,0,0,21878896,0,0,21878896,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC107_ParseTemp,55,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,49,47,957217515,1073802364,182806818,9521916,24987484,18921169,10165,357206600,819,38,0.89,0.23,0.29,0.09,0,21880312,0,0,21880312,0,0,21880312,0,0,21880312,0,0,21880312,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC110_EqualsCitySplit,41,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,56,36,971827405,1091513941,178310015,9470365,27461646,20039486,9866,397649158,604,20,0.89,0.26,0.31,0.11,0,21879024,0,0,21879024,0,0,21879024,0,0,21879024,0,0,21879024,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC111_EqualsCitySplit_Reverse,50,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,49,49,936593417,1042610925,176882955,9297416,27419795,19733304,10027,347257846,617,37,0.90,0.23,0.28,0.09,0,21880056,0,0,21880056,0,0,21880056,0,0,21880056,0,0,21880056,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC112_EqualsCityMismatch,0,ERROR,0,0,220857490,299199195,44999067,3159465,4801187,4708694,8066,85789032,154,10,0.74,0.10,0.05,0.05,0,21876408,0,0,21876408,0,0,21876408,0,0,21876408,0,0,21876408,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC113_EqualsCityMismatchSimple,0,ERROR,0,0,233875935,308562786,42300550,3044352,4769185,4838005,8062,101750900,147,22,0.76,0.13,0.05,0.07,0,21850760,0,0,21850760,0,0,21850760,0,0,21850760,0,0,21850760,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-213732,org.onebrc.again26.BRC010_NoStream,110,KKnym6bvAbvJKBh8OQTRvGyt/dxiPRE3zLCyGPqKquKooIT05rf/fD3F0IDhM9ZF4n0bSRi6c4x84xf0llwtoA==,125,150,1311105881,1650608484,252662885,12709769,35457971,24149097,11340,643281025,910,134,0.79,0.34,0.54,0.13,0,21876392,0,0,21876392,0,0,21876392,0,0,21876392,0,0,21876392,0
