JDK,GC_OPTS,VM_OPTS,PROG_OPTS,BINDING,DATA,RunTimestamp,Class,MedianRuntimeMs,Checksum,PerfRuntimeMs,JfrRuntimeMs,Instructions,Cycles,Branches,BranchMisses,L1Misses,LLCMisses,PageFaults,TaskClock,ContextSwitches,CpuMigrations,IPC,SecElapsed,SecUser,SecSys,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs,GcPauseMs,AllocatedBytes,JitCompilationMs
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC100_DirectTempWrite,43,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,43,43,990152106,962439388,173782590,8988803,24210324,17595279,10053,331039248,555,15,1.03,0.22,0.26,0.09,0,21876136,0,0,21876136,0,0,21876136,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC101_ParseFrom65_VOID,39,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,38,49,953207110,931509369,184272859,8869676,22297331,17479153,9918,288439081,574,16,1.02,0.20,0.23,0.07,0,21875992,0,0,21875992,0,0,21875992,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC105_ParseTemp_95,40,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,34,52,951960939,896640330,175685334,8874928,22378495,17132429,10012,266963987,589,15,1.06,0.18,0.21,0.07,0,21880136,0,0,21880136,0,0,21880136,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC106_ParseTemp_105,36,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,35,37,978473940,948915027,182590982,9061047,24265062,18750351,10069,282777543,595,13,1.03,0.20,0.22,0.08,0,21878776,0,0,21878776,0,0,21878776,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC107_ParseTemp,50,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,52,36,950592340,977640341,182315253,9002012,24199321,19020100,10125,345148658,637,16,0.97,0.23,0.28,0.09,0,21879824,0,0,21879824,0,0,21879824,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC110_EqualsCitySplit,48,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,58,62,979766971,1145871465,181629132,9462780,23791574,18392712,9863,422502038,605,65,0.86,0.27,0.34,0.11,0,21879096,0,0,21879096,0,0,21879096,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC111_EqualsCitySplit_Reverse,46,tNvyVnNau7CVVF2fueePRBSsePo5LV3s+SIneAfj0k1appwJJCqWag27xzUuU+3vFSEcGadeMjthc57sBmGOrw==,42,48,960519794,972386051,176040054,8956323,21859398,17067218,10050,348747837,580,28,0.99,0.23,0.28,0.09,0,21877392,0,0,21877392,0,0,21877392,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC112_EqualsCityMismatch,0,ERROR,0,0,226732778,275086316,44653087,3123907,5169877,5032207,8058,99842389,144,11,0.82,0.12,0.05,0.07,0,21877176,0,0,21877176,0,0,21877176,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC113_EqualsCityMismatchSimple,0,ERROR,0,0,218966553,287305670,42211355,3083263,5386878,5020254,8055,83229349,140,12,0.76,0.10,0.04,0.06,0,21877104,0,0,21877104,0,0,21877104,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260508-220316,org.onebrc.again26.BRC010_NoStream,74,KKnym6bvAbvJKBh8OQTRvGyt/dxiPRE3zLCyGPqKquKooIT05rf/fD3F0IDhM9ZF4n0bSRi6c4x84xf0llwtoA==,73,79,1451340116,1416909136,280090042,13270417,45651013,25192972,13045,466905807,691,11,1.02,0.23,0.40,0.09,0,21879024,0,0,21879024,0,0,21879024,0
