JDK,GC_OPTS,VM_OPTS,PROG_OPTS,BINDING,DATA,RunTimestamp,Class,MedianRuntimeMs,Checksum,PerfRuntimeMs,JfrRuntimeMs,Instructions,Cycles,Branches,BranchMisses,L1Misses,LLCMisses,PageFaults,TaskClock,ContextSwitches,CpuMigrations,IPC,SecElapsed,SecUser,SecSys,GcPauseMs,AllocatedBytes,JitCompilationMs
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260510-002939,org.onebrc.again26.BRC100_DirectTempWrite,3517,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3273,3264,26743274796,12231152367,4971917325,156065483,321791098,46526643,10527,3578893175,659,29,2.19,3.45,3.31,0.29,0,21877800,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260510-002939,org.onebrc.again26.BRC101_ParseFrom65_VOID,3179,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3135,3577,27240380924,12281004345,4995071633,156302422,330743343,47964705,10504,3430422511,705,25,2.22,3.29,3.16,0.29,0,21880392,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260510-002939,org.onebrc.again26.BRC105_ParseTemp_95,3184,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3172,3167,25837254023,12138249625,4961510053,155859100,334581606,48427619,10554,3484088360,720,39,2.13,3.33,3.20,0.30,0,21880488,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260510-002939,org.onebrc.again26.BRC106_ParseTemp_105,3145,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3167,3264,26782286360,12105053770,5030130786,152526180,324629519,46212803,10539,3445217597,696,42,2.21,3.32,3.19,0.28,0,21880360,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260510-002939,org.onebrc.again26.BRC107_ParseTemp,3389,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3379,3752,27929905572,12227227338,5403825841,155348550,326984133,46994635,10761,3684349924,732,42,2.28,3.52,3.40,0.31,0,21880456,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260510-002939,org.onebrc.again26.BRC110_EqualsCitySplit,3418,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3432,3709,26488303015,12528828693,4933152551,157930056,330660810,49044594,10573,3782014320,701,44,2.11,3.60,3.50,0.30,0,21879608,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260510-002939,org.onebrc.again26.BRC111_EqualsCitySplit_Reverse,3400,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,3430,4344,26952757476,12378874013,5153905008,154560023,327848931,47485457,10614,3732841455,695,34,2.18,3.59,3.44,0.32,0,21876944,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260510-002939,org.onebrc.again26.BRC112_EqualsCityMismatch,0,ERROR,0,0,238706817,292797348,46318446,3162655,4837880,4803162,8031,81485852,136,7,0.82,0.10,0.05,0.05,0,21877088,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260510-002939,org.onebrc.again26.BRC113_EqualsCityMismatchSimple,0,ERROR,0,0,235020708,286946487,42850661,3086616,5162276,4853863,8066,79473700,145,10,0.82,0.09,0.04,0.05,0,21876136,0
JDK_21_OPEN,"-XX:+UseG1GC","-Xms2g -Xmx2g","-wc 0 -mc 1 -t 8","taskset -c 0-7",10k,20260510-002939,org.onebrc.again26.BRC010_NoStream,29529,pYHaTm+A6aQEXWKgiv6O6sW8VVtw8uoy0wU8qzrmTIlIK9+o7KMrklbCD3CfJxXCx5gkHXOrj196snpH1Df4hA==,115544511,38237,216701251859,98101983244,50176843415,340711571,1718647824,464724537,331121,41129509020,6806,803,2.21,115545.73,39.14,2.45,125,22216048,993
